date,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,temperature_2m_max,temperature_2m_mean,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,soil_moisture_0_to_100cm_mean,soil_moisture_0_to_7cm_mean,soil_moisture_28_to_100cm_mean,soil_moisture_7_to_28cm_mean,soil_temperature_0_to_100cm_mean,soil_temperature_0_to_7cm_mean,soil_temperature_28_to_100cm_mean,soil_temperature_7_to_28cm_mean,wet_bulb_temperature_2m_mean,wet_bulb_temperature_2m_max,wet_bulb_temperature_2m_min,vapour_pressure_deficit_max,surface_pressure_mean,surface_pressure_max,surface_pressure_min,winddirection_10m_dominant,wind_gusts_10m_max,wind_gusts_10m_mean,wind_speed_10m_mean,wind_gusts_10m_min,wind_speed_10m_min,pressure_msl_min,pressure_msl_max,pressure_msl_mean,snowfall_water_equivalent_sum,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,et0_fao_evapotranspiration_sum,dew_point_2m_min,dew_point_2m_max,dew_point_2m_mean,cloud_cover_mean,cloud_cover_max,cloud_cover_min,C2_discharge_lag1,C2_discharge_lag2,precip_rolling_7d,precip_rolling_15d,soil_moisture_rolling_7d_avg,month
2013-03-14 00:00:00+07:00,-0.16171709064461734,0.3705509660078537,0.560905403699739,-0.412534245923007,0.7476444873656763,0.6525256064321753,-0.19155794916504676,0.570895299568302,-0.5488235900243934,-0.5488235900243934,0.0,-0.7846487891153513,-0.9728932085764763,0.3347585275049435,0.8025513984259484,0.492159825703739,-0.5018391197845381,-0.8846559034861973,-0.38258377077305944,-0.6193561815250622,0.5630513681537318,0.9071911335375364,0.38862553519440085,0.8219430281989173,-0.1483085947906147,0.2071153706343183,-0.7337683857987248,0.8881779457060106,0.6736007626130641,0.8218004182135479,0.7156351621128321,0.3347585275049435,-0.9185376714785316,-1.1578814378370628,-1.0562298591518748,-1.3661838372664925,-0.8198279186529107,0.708380089215068,0.8136982052051813,0.6686326009332948,0.0,-0.255942415600271,-0.9087617073266255,-0.9026063725767373,0.492159825703739,-0.5515302195316175,0.03996126497319936,-0.36690413351533946,-1.5560693405260526,-2.273734215797964,-0.9994777494404072,-0.8570701839763474,-0.8476969803162676,-0.8453686307798612,-0.4812330885582763,-0.44642627689115516,-1.0136585978696129
2013-03-15 00:00:00+07:00,0.6585919037701052,0.44484181878737433,0.6524994123259918,0.34839362654804595,0.6955797479464818,0.4106705981508898,-0.16864516203423127,0.570895299568302,-0.17793443992146277,-0.17793443992146277,0.0,0.4756638451049976,-0.3970848185415342,0.14168954576266207,0.2297775307565908,0.13798833084022297,-0.5044783801430318,-0.8234995678559924,-0.3857430969308551,-0.6417295424244954,0.6127366762530234,0.8356665692392818,0.44488802209527334,0.8939470231662504,0.34828879010510244,0.4390374813477667,0.14721690378020727,0.43069438316659475,1.1273666975656351,1.0997948361997854,1.0415572362441659,0.14168954576266207,-0.10202098795671745,-0.17915154139657133,-0.3054513333586601,-0.8452457035123365,-0.2626239816066765,1.0356927506948101,1.096679058077074,1.1223411421994531,0.0,0.07848014408329386,-0.3236029147501148,-0.05437465501096782,0.13798833084022297,0.3002889900254661,0.3963089665508499,0.3043216136471671,-0.7604862359826418,0.26102939360138294,-0.7453069193250561,-0.8668723938597532,-0.8568602935107992,-0.7629405229980916,-0.44401719426877523,-0.4647055612385858,-1.0136585978696129
2013-03-16 00:00:00+07:00,0.16640609696677433,0.7292375146707327,0.8959614843327484,0.4791254428664194,0.7129357023810023,0.5575746662548787,-0.14564547205486675,0.570895299568302,-0.3875674378057279,-0.3875674378057279,0.0,-0.4245594650523945,-0.45740658446126164,0.40879324031717185,0.7294814811512562,0.48936310714436104,-0.49928154584529905,-0.6578130537365037,-0.3911590536828466,-0.6577091526009269,0.6140783522422585,0.8675430015869957,0.4804801821145169,0.7950522926507129,0.5913785031424914,0.5934109303792914,0.6465559640643962,0.4143980240973861,1.2392285930000857,1.2164917062166112,1.0425280870217841,0.40879324031717185,-0.782451557558229,-0.8065425530848497,-0.646497471535243,-1.2917640891072186,-0.4899575646116825,1.0356927506948101,1.2098713992258248,1.2332525004507846,0.0,0.7464735183263963,-0.26710179327385397,0.16844302334205885,0.48936310714436104,0.3765712845284008,0.42729606002264214,0.5097865353766075,-0.6650699304648009,0.12276956036141856,-0.7735481226712063,-0.8774857181400995,-0.8666620235813877,-0.7342698768131283,-0.43226480659840644,-0.4784627430968183,-1.0136585978696129
2013-03-17 00:00:00+07:00,0.5765605941741356,0.9800586214855616,1.2743728844215703,0.5441668556519609,1.198872228998678,1.13713167052062,-0.12257321371743223,0.570895299568302,-0.46819551391506065,-0.46819551391506065,0.0,-0.4245594650523945,0.2633373413923887,0.499434507053179,1.1938290199613937,1.1084524284725024,-0.508539494736688,-0.6920785061825732,-0.3952209670894391,-0.6732322619716548,0.7243060806334185,1.2376040502684114,0.5264130170738528,0.9624782369745051,0.6259900254611681,0.681011320852083,0.6008375676749617,0.848447847436201,0.39608492180770094,0.538789773169345,-0.02857423551642704,0.499434507053179,-0.5102793297176242,-0.08155698331866744,0.05366311790796206,0.19663077071749815,0.046891443401795734,-0.0355123232389527,0.5307173523332885,0.3894960477765705,0.0,0.178951438423039,-0.5307926557908276,-0.4365598551608317,1.1084524284725024,0.44013986328084614,0.38081588461670834,0.3706009751811562,-1.6326710619628895,-2.273734215797964,-0.9994777494404072,-0.887126526768635,-0.8772748283453098,-0.7163507229475261,-0.42834734404161684,-0.4903819436692936,-1.0136585978696129
2013-03-18 00:00:00+07:00,0.925192326954891,0.8643362586839417,1.1676307323159496,0.6055734651754012,1.4418410129549113,1.3512212445259817,-0.09944988875765273,0.5775742291908157,-0.5488235900243934,-0.5488235900243934,0.0,-0.7846487891153513,1.2927253688966445,0.3954176319438741,1.3163979134544248,1.5739101587620836,-0.5237450039664096,-0.7718857025019081,-0.4019901006684098,-0.6901252024926717,0.875715478833272,1.5501382515488173,0.5918587640670271,1.2591636777229687,0.434603810955606,0.19738878317941239,0.5738103954967968,1.5673365127818608,-0.4258326474130892,-0.2827523287429727,-0.5627512695310375,0.3954176319438741,0.6237716196182286,0.9640953844386532,0.8949156586059107,1.8338653335822852,-1.0226206503765047,-0.5711148602058679,-0.2899271209951939,-0.431164195025995,0.0,-0.5730818556578945,-1.256170743380109,-0.8394721363502068,1.5739101587620836,-0.5133888180058345,0.17940179119099856,0.05426949924297416,-0.5347126461588741,0.5375490600813116,-0.9147541394019568,-0.8951528202811857,-0.8869151650615311,-0.7163507229475261,-0.48515055111506583,-0.5012876398283199,-1.0136585978696129
2013-03-19 00:00:00+07:00,0.6996073534908419,0.8057965700813603,1.0204082886546322,0.7003397665979968,1.4939067936688915,1.31807737526868,-0.07628624804339243,0.5770596479707876,-0.5488235900243934,-0.5488235900243934,0.0,-0.7846487891153513,0.5420401057967945,0.3954725126601973,1.5544644181235807,1.4815613738243263,-0.5354829014923763,-0.8438857070386636,-0.40650487826403664,-0.7019960862623154,0.9885425433802968,1.6395441435081066,0.6802747865893611,1.4309289328931327,0.16615844192949078,0.19307497384963276,-0.11614050985460295,2.1187847339185635,-0.4541269460741973,-0.2548591522371446,-0.4133149306059837,0.3954725126601973,-0.3741932157973222,0.24468643942395554,0.08582337373298655,0.19663077071749815,-0.6776656164782031,-0.42233637771506377,-0.2616290357079982,-0.4592001981624826,0.0,0.2341303100265784,-1.8360251586144394,-0.9883132990662233,1.4815613738243263,-1.5050583922696676,0.41180266822066425,-0.32352066344891145,-0.5051470140107922,0.4914624490013236,-0.9994777494404072,-0.902943039590792,-0.8949410656914001,-0.7163507229475261,-0.9180301636403154,-0.5110050464036022,-1.0136585978696129
2013-03-20 00:00:00+07:00,0.6585919037701052,0.9562849187828107,1.241063578351308,0.7472005897347304,1.5286155786535656,1.3494282895437817,-0.053099313782096376,0.576486170262264,-0.5488235900243934,-0.5488235900243934,0.0,-0.7846487891153513,0.365515284658952,0.4379159806205018,1.4036103953629269,1.0814164518071578,-0.5471591861083652,-0.8972339140232755,-0.41282277237601006,-0.7138666412987817,1.0779183692956344,1.6659763558661127,0.7767309842543247,1.5150780847030059,0.3637089560174246,0.2948259255926815,0.19137667587987345,1.9746919667637572,-0.1958734778123312,-0.08477326535643183,-0.05462290868838943,0.4379159806205018,-0.10202098795671745,0.1693987521393666,-0.13553328658642358,-1.2917640891072186,-0.5795542339739093,-0.06526801973712029,-0.09184052398485615,-0.20179873537099347,0.0,0.6132639839057682,-1.6378265231010183,-0.7944931870389738,1.0814164518071578,-1.1236469197549954,0.5977233698443972,-0.0879297057335282,-1.0252326048548284,0.5375490600813116,-0.9994777494404072,-0.9118314038604394,-0.9027309036740281,-0.7163507229475261,-0.9180301636403154,-0.5197741207226971,-1.0136585978696129
2013-03-21 00:00:00+07:00,0.6380841789097383,1.0892425891464224,1.3253638019737142,0.6785195700937121,1.476550839234371,1.2105834895900025,-0.029902076605768737,0.5758557178316627,-0.5165723595806603,-0.5165723595806603,0.0,-0.6046041270838729,-0.21756973573751356,0.32222542583611463,1.2079715845952046,1.1186564527982916,-0.5560740288325133,-0.9280290176740432,-0.4182384041835943,-0.7243690088508457,1.1557149592915736,1.6823049109329196,0.8651365349280369,1.5792733188698391,0.7525775619476555,0.7981411455790187,0.8345807790467971,1.491775164624767,-0.33707146263740806,-0.14126972978624383,-0.505486009817031,0.32222542583611463,-0.6010036576758147,0.16661090449784505,0.16928860500169446,0.8664084007902019,0.7876294188587346,-0.5116034672095328,-0.14843669455924757,-0.3420032206175298,0.0,0.6132639839057682,-1.079877223119732,-0.318132418986501,1.1186564527982916,-0.10655016826449991,0.5977233698443972,0.4730319269590963,-0.7336083416613018,0.5375490600813116,-0.717065715978906,-0.920939625675514,-0.9116188328631014,-0.7091830614012853,-0.9141127010835258,-0.5275510874611843,-1.0136585978696129
2013-03-22 00:00:00+07:00,0.9662077766756262,0.9850087790981467,1.2273505434706071,0.6672462949002049,1.5286155786535656,1.4649814433726691,-0.006710214863369912,0.570895299568302,-0.5004467443587938,-0.5004467443587938,0.0,-0.6046041270838729,0.35623680008289016,0.41593675492680615,1.389467830729116,1.7531996308407445,-0.5625518547049309,-0.9314988459898927,-0.42365468587999355,-0.7335003398976361,1.2364031368017707,1.7724884952946032,0.9512581203021131,1.6330581211711943,0.5552991377912331,0.7314697773146586,0.6327815281952919,1.5369653941741859,-0.45723080635959396,-0.3102847686483756,-0.4440684960079445,0.41593675492680615,0.07942691192569684,0.8469818032089546,0.9593332998559553,1.387346844626642,0.7018171647667447,-0.4520920742132314,-0.31822520628238965,-0.46305415451770987,0.0,-0.450548661117386,-1.0935626037109414,-0.8407535902636183,1.7531996308407445,-0.09383619823969538,0.19489518299297648,0.16935313162374288,-0.4379525362344023,0.5375490600813116,-0.7453069193250561,-0.9293588287908503,-0.9207266088356952,-0.7808596768636937,-0.9082365072483415,-0.5358784819011143,-1.0136585978696129
2013-03-23 00:00:00+07:00,0.7406228032115786,0.9247560566277465,1.1891502718392222,0.4444280766221464,1.4418410129549113,1.4578143530613248,0.016457905379167123,0.5836349152517445,-0.5488235900243934,-0.5488235900243934,0.0,-0.7846487891153513,0.16921637733203604,0.35526073519859785,1.2786844077642612,1.4646468627606783,-0.5683112113898087,-0.9367042650869549,-0.4286187532761728,-0.7403493860713578,1.3079830713592964,1.809803176865019,1.0327825641307644,1.68337180791595,0.33056687961752557,0.2968673136512433,0.24709868688992626,1.4367349247448924,-0.26176750973283186,-0.027623498421903495,-0.2944379869273467,0.35526073519859785,-0.10202098795671745,0.2558404325016781,0.22214137118656171,-0.32430736303665797,-0.18051550956529053,-0.3033135917224272,-0.0352443534104969,-0.26807454989871454,0.0,-0.3578345529224683,-1.0838929025707693,-1.0968469642646221,1.4646468627606783,-0.24640078724556466,0.16390808952118424,-0.09696659103379368,-1.217408955790401,0.0305963382014423,-0.9429953427481069,-0.9364408724118056,-0.9291453998356396,-0.8166979845948978,-0.9082365072483415,-0.5457769296413624,-1.0136585978696129
